date,sum,in,out
20181129,144900,71880,73020
20181130,157872,80930,76942
20181201,149743,76883,72860
20181202,159788,78272,81516
20181203,144527,71181,73346
20181204,141321,69717,71604
20181205,135512,67515,67997
20181206,139055,69868,69187
20181207,151893,76559,75334
20181208,146835,76671,70164
20181209,160890,80745,80145
20181210,147476,70873,76603
20181211,138440,69040,69400
20181212,142844,70742,72102
20181213,142499,71371,71128
20181214,159571,80301,79270
20181215,156561,82903,73658
20181216,164209,82274,81935
20181217,149240,76170,73070
20181218,141841,74918,66923
20181219,143026,76772,66254
20181220,147796,80331,67465
20181221,157035,85491,71544
20181222,156341,86558,69783
20181223,154552,82141,72411
20181224,139082,72579,66503
20181225,142611,72073,70538
20181226,153934,75188,78746
20181227,159842,77255,82587
20181228,175022,80647,94375
20181229,173844,81081,92763
20181230,168334,81925,86409
20181231,152738,76681,76057
20190101,169524,88326,81198
20190102,163684,84688,78996
20190103,144853,71515,73338
20190104,132253,63345,68908
20190105,130459,61449,69010
20190106,144181,64715,79466
20190107,127623,55618,72005
20190108,115755,52024,63731
20190109,114308,53116,61192
20190110,122606,58432,64174
20190111,136432,66644,69788
20190112,140366,66633,73733
20190113,147288,67263,80025
20190114,140288,61978,78310
20190115,134935,60000,74935
20190116,134184,62485,71699
20190117,141947,67061,74886
20190118,157895,73751,84144
20190119,159767,74935,84832
20190120,167480,76958,90522
20190121,155069,73600,81469
20190122,150151,73706,76445
20190123,150810,75224,75586
20190124,157309,81982,75327
20190125,169217,86910,82307
20190126,169016,88069,80947
20190127,172374,89765,82609
20190128,113534,51603,61931
20190129,80165,33371,46794
20190130,115785,49019,66766
20190131,127339,54794,72545
20190201,136167,57607,78560
20190202,143557,61680,81877
20190203,127294,53848,73446
20190204,104589,46693,57896
20190205,95365,33226,62139
20190206,123506,52944,70562
20190207,137738,62825,74913
20190208,137587,65302,72285
20190209,145783,70167,75616
20190210,148692,72154,76538
20190211,137610,65032,72578
20190212,124832,58642,66190
20190213,115661,51689,63972
20190214,90967,38813,52154
20190215,118779,52483,66296
20190216,116118,52992,63126
20190217,122068,50944,71124
20190218,117234,46946,70288
20190219,123403,53686,69717
20190220,141156,62789,78367
20190221,133639,61423,72216
20190222,154655,76363,78292
20190223,147510,70643,76867
20190224,153192,66910,86282
20190225,142557,61240,81317
20190226,146236,59404,86832
20190227,164399,67655,96744
20190228,170729,72737,97992
20190301,166566,86394,80172
20190302,152989,91612,61377
20190303,176900,101329,75571
20190304,161950,90794,71156
20190305,144839,80480,64359
20190306,137914,73826,64088
20190307,145251,74616,70635
20190308,155698,79725,75973
20190309,150201,75996,74205
20190310,169073,84587,84486
20190311,156057,76344,79713
20190312,148856,72578,76278
20190313,132161,57981,74180
20190314,106372,44289,62083
20190315,129630,57519,72111
20190316,160187,83335,76852
20190317,172369,84438,87931
20190318,165355,80364,84991
20190319,151526,73149,78377
20190320,155818,78096,77722
20190321,159615,83076,76539
20190322,150481,71724,78757
20190323,168196,88152,80044
20190324,176640,86588,90052
20190325,164689,79834,84855
20190326,157663,75689,81974
20190327,161415,78037,83378
20190328,160190,73264,86926
20190329,135739,56236,79503
20190330,173149,81375,91774
20190331,177640,81834,95806
20190401,149658,71111,78547
20190402,147326,69249,78077
20190403,168885,76440,92445
20190404,167432,78434,88998
20190405,147712,83039,64673
20190406,161870,87430,74440
20190407,198114,107353,90761
20190408,173683,89970,83713
20190409,154219,79872,74347
20190410,150551,76099,74452
20190411,155857,79922,75935
20190412,171559,88215,83344
20190413,164859,88787,76072
20190414,174758,90238,84520
20190415,172333,85470,86863
20190416,160810,81283,79527
20190417,158975,81767,77208
20190418,166842,83505,83337
20190419,176769,89830,86939
20190420,184358,91223,93135
20190421,189919,93642,96277
20190422,169288,84468,84820
20190423,170271,88119,82152
20190424,160969,83348,77621
20190425,163149,84186,78963
20190426,189210,98636,90574
20190427,175201,91028,84173
20190428,177182,95283,81899
20190429,151813,83511,68302
20190430,159326,86213,73113
20190501,185962,101247,84715
20190502,159939,81297,78642
20190503,164584,75391,89193
20190504,158528,68382,90146
20190505,165820,76334,89486
20190506,148194,61855,86339
20190507,145290,61636,83654
20190508,139251,61673,77578
20190509,141521,65951,75570
20190510,161030,79781,81249
20190511,159476,81103,78373
20190512,168355,84666,83689
20190513,157201,71871,85330
20190514,147138,68824,78314
20190515,160696,77964,82732
20190516,156624,79665,76959
20190517,175402,85231,90171
20190518,167316,86492,80824
20190519,174848,87690,87158
20190520,171104,82132,88972
20190521,152473,74889,77584
20190522,160704,78776,81928
20190523,165226,81635,83591
20190524,171363,86838,84525
20190525,165704,85932,79772
20190526,175612,89842,85770
20190527,161923,84138,77785
20190528,157715,82683,75032
20190529,156582,80746,75836
20190530,152568,78229,74339
20190531,163765,83792,79973
20190601,170864,88644,82220
20190602,164545,81527,83018
20190603,144138,73551,70587
20190604,148420,73330,75090
20190605,151630,75932,75698
20190606,161552,78368,83184
20190607,162905,77322,85583
20190608,163290,78704,84586
20190609,184574,91559,93015
20190610,165477,80474,85003
20190611,152772,74036,78736
20190612,161840,78442,83398
20190613,150777,73328,77449
20190614,181494,92694,88800
20190615,169506,86014,83492
20190616,178004,85637,92367
20190617,173291,83637,89654
20190618,159524,76616,82908
20190619,160099,76876,83223
20190620,167426,81672,85754
20190621,171372,84321,87051
20190622,176402,85843,90559
20190623,175496,83399,92097
20190624,160412,77858,82554
20190625,165731,79887,85844
20190626,158788,75408,83380
20190627,164643,80274,84369
20190628,171187,81468,89719
20190629,182818,88670,94148
20190630,180158,86265,93893
20190701,171532,79931,91601
20190702,162931,76876,86055
20190703,159343,75561,83782
20190704,162285,80031,82254
20190705,173732,85288,88444
20190706,171185,85964,85221
20190707,172506,84392,88114
20190708,175157,85409,89748
20190709,148764,73581,75183
20190710,152851,76229,76622
20190711,172871,89425,83446
20190712,165890,85619,80271
20190713,168986,89578,79408
20190714,177765,90909,86856
20190715,164898,83236,81662
20190716,160726,82388,78338
20190717,158314,80138,78176
20190718,150708,76933,73775
20190719,161770,83784,77986
20190720,173108,89977,83131
20190721,185239,94395,90844
20190722,165270,83844,81426
20190723,156083,80172,75911
20190724,172859,89520,83339
20190725,162923,84766,78157
20190726,173686,90495,83191
20190727,176427,94586,81841
20190728,181600,92915,88685
20190729,168412,86828,81584
20190730,155575,81005,74570
20190731,163815,85156,78659
20190801,159940,80708,79232
20190802,169477,87087,82390
20190803,167490,88323,79167
20190804,179446,89870,89576
20190805,156315,78586,77729
20190806,154877,77239,77638
20190807,163102,80793,82309
20190808,153126,73666,79460
20190809,96343,45340,51003
20190810,194622,100087,94535
20190811,191130,94702,96428
20190812,158974,79602,79372
20190813,153684,72213,81471
20190814,167018,80123,86895
20190815,158702,75631,83071
20190816,177304,81908,95396
20190817,175412,85842,89570
20190818,179501,84440,95061
20190819,171690,82251,89439
20190820,159508,76750,82758
20190821,166462,80455,86007
20190822,159360,77824,81536
20190823,175682,87760,87922
20190824,136137,66582,69555
20190825,196173,104119,92054
20190826,176773,93464,83309
20190827,161412,83326,78086
20190828,160180,83470,76710
20190829,157259,83600,73659
20190830,155460,77378,78082
20190831,154853,78071,76782
20190901,162852,79919,82933
20190902,143011,66666,76345
20190903,132080,63105,68975
20190904,136342,66367,69975
20190905,137142,69597,67545
20190906,155488,81434,74054
20190907,142847,75692,67155
20190908,158108,82965,75143
20190909,126930,63930,63000
20190910,125707,68602,57105
20190911,139319,73208,66111
20190912,148308,77443,70865
20190913,137469,68007,69462
20190914,127510,65982,61528
20190915,172255,84314,87941
20190916,155713,71948,83765
20190917,142799,65660,77139
20190918,134497,60577,73920
20190919,133712,62788,70924
20190920,152643,75508,77135
20190921,148710,78992,69718
20190922,160693,83161,77532
20190923,155465,77517,77948
20190924,140550,73456,67094
20190925,145427,77187,68240
20190926,141231,76806,64425
20190927,156280,88328,67952
20190928,151168,86963,64205
20190929,149489,84485,65004
20190930,105679,57485,48194
20191001,155827,93634,62193
20191002,134876,77107,57769
20191003,133727,70177,63550
20191004,146320,69355,76965
20191005,150833,64384,86449
20191006,163612,64848,98764
20191007,142900,50602,92298
20191008,144606,51250,93356
20191009,164015,57170,106845
20191010,165569,63751,101818
20191011,171662,84786,86876
20191012,142943,82812,60131
20191013,188315,107098,81217
20191014,178644,97032,81612
20191015,158485,85401,73084
20191016,149613,77907,71706
20191017,150986,76337,74649
20191018,168251,86856,81395
20191019,166359,88370,77989
20191020,178612,91885,86727
20191021,161465,83009,78456
20191022,153302,79694,73608
20191023,154890,80588,74302
20191024,154088,80301,73787
20191025,169493,88516,80977
20191026,167579,89682,77897
20191027,168107,85407,82700
20191028,151917,74748,77169
20191029,138725,69362,69363
20191030,137900,69564,68336
20191031,144939,75457,69482
20191101,158070,82678,75392
20191102,147071,77890,69181
20191103,163968,81373,82595
20191104,148573,70997,77576
20191105,147928,70298,77630
20191106,135908,65893,70015
20191107,145538,70763,74775
20191108,161323,81966,79357
20191109,159509,82371,77138
20191110,167594,84114,83480
20191111,154074,75306,78768
20191112,148894,72820,76074
20191113,145231,71299,73932
20191114,153261,77201,76060
20191115,172760,88520,84240
20191116,161776,83927,77849
20191117,174603,86392,88211
20191118,156472,77125,79347
20191119,148214,75353,72861
20191120,148174,75618,72556
20191121,152727,78332,74395
20191122,164025,85121,78904
20191123,158315,83730,74585
20191124,171704,86251,85453
20191125,154940,77447,77493
20191126,141342,71013,70329
20191127,142268,71640,70628
20191128,145412,73259,72153
20191129,159897,82371,77526
20191130,154231,81425,72806
20191201,165606,81873,83733
20191202,144685,72038,72647
20191203,139529,73232,66297
20191204,142410,71311,71099
20191205,141130,72431,68699
20191206,158563,82408,76155
20191207,146314,76422,69892
20191208,162034,78996,83038
20191209,148640,72622,76018
20191210,140709,68734,71975
20191211,136335,67410,68925
20191212,143710,71872,71838
20191213,159510,82841,76669
20191214,153150,80891,72259
20191215,166035,82509,83526
20191216,152193,76323,75870
20191217,144982,71967,73015
20191218,144285,74370,69915
20191219,147801,78699,69102
20191220,168722,90425,78297
20191221,156695,86818,69877
20191222,159206,86780,72426
20191223,146522,79536,66986
20191224,141949,79126,62823
20191225,145564,78388,67176
20191226,149386,78321,71065
20191227,163610,83861,79749
20191228,175302,87505,87797
20191229,158443,79007,79436
20191230,143815,71450,72365
20191231,142714,68370,74344
20200101,155720,74280,81440
20200102,147791,70216,77575
20200103,143648,67140,76508
20200104,140482,67426,73056
20200105,155516,73388,82128
20200106,135048,64143,70905
20200107,123142,62543,60599
20200108,119263,66095,53168
20200109,130547,78991,51556
20200110,153189,91679,61510
20200111,148066,68865,79201
20200112,154198,58395,95803
20200113,139730,52437,87293
20200114,139206,55641,83565
20200115,147679,64887,82792
20200116,149000,69449,79551
20200117,165611,79091,86520
20200118,167243,80578,86665
20200119,166350,80254,86096
20200120,156488,77561,78927
20200121,169355,80794,88561
20200122,179671,88033,91638
20200123,179106,87221,91885
20200124,155434,75875,79559
20200125,137454,62596,74858
20200126,147520,69022,78498
20200127,156495,75533,80962
20200128,163695,82415,81280
20200129,171394,88489,82905
20200130,147593,73869,73724
20200131,149718,74601,75117
20200201,139273,72159,67114
20200202,148611,78055,70556
20200203,128803,68430,60373
20200204,123710,66117,57593
20200205,113917,61370,52547
20200206,104164,57931,46233
20200207,99661,54738,44923
20200208,100503,57787,42716
20200209,105056,60096,44960
20200210,88834,50763,38071
20200211,79472,44262,35210
20200212,71835,39918,31917
20200213,66877,37274,29603
20200214,64618,34786,29832
20200215,64978,36221,28757
20200216,64014,35316,28698
20200217,57101,31261,25840
20200218,52430,29726,22704
20200219,47945,26435,21510
20200220,45721,24940,20781
20200221,45343,24225,21118
20200222,43287,24592,18695
20200223,44414,24365,20049
20200224,39143,17929,21214
20200225,34833,16917,17916
20200226,30987,15424,15563
20200227,28388,14112,14276
20200228,29784,14805,14979
20200229,28707,16181,12526
20200301,31160,16310,14850
20200302,24997,12284,12713
20200303,23344,11827,11517
20200304,21133,10026,11107
20200305,19930,9291,10639
20200306,19582,8858,10724
20200307,19026,9504,9522
20200308,21221,10699,10522
20200309,17300,8072,9228
20200310,17372,8065,9307
20200311,15945,7581,8364
20200312,15532,7702,7830
20200313,14994,7550,7444
20200314,16443,9277,7166
20200315,19038,10785,8253
20200316,15099,8294,6805
20200317,14164,8423,5741
20200318,14151,8508,5643
20200319,11448,6511,4937
20200320,10812,5607,5205
20200321,8435,4965,3470
20200322,7309,4413,2896
20200323,5424,3006,2418
20200324,5216,2986,2230
20200325,4438,2776,1662
20200326,4004,2792,1212
20200327,4000,2303,1697
20200328,3230,1922,1308
20200329,2774,1761,1013
20200330,2965,1959,1006
20200331,3171,1799,1372
20200401,2675,1588,1087
20200402,2567,1374,1193
20200403,1510,1019,491
20200404,1064,629,435
20200405,1605,1121,484
20200406,1445,706,739
20200407,1388,700,688
20200408,1434,653,781
20200409,1366,681,685
20200410,1485,867,618
20200411,1303,784,519
20200412,2018,1262,756
20200413,1474,602,872
20200414,722,371,351
20200415,1916,777,1139
20200416,1394,653,741
20200417,1232,851,381
20200418,1134,714,420
20200419,1269,689,580
20200420,1766,968,798
20200421,945,572,373
20200422,1578,683,895
20200423,1456,614,842
20200424,990,491,499
20200425,735,310,425
20200426,1442,852,590
20200427,982,214,768
20200428,525,299,226
20200429,1789,783,1006
20200430,2051,785,1266
20200501,2639,1259,1380
20200502,1612,1010,602
20200503,1886,1032,854
20200504,1757,744,1013
20200505,932,299,633
20200506,1795,903,892
20200507,921,599,322
20200508,1448,523,925
20200509,1220,576,644
20200510,2051,1151,900
20200511,1651,548,1103
20200512,685,204,481
20200513,1563,766,797
20200514,1317,869,448
20200515,2111,794,1317
20200516,1698,846,852
20200517,1867,1029,838
20200518,1789,573,1216
20200519,1195,208,987
20200520,1934,1241,693
20200521,1238,634,604
20200522,1493,719,774
20200523,925,369,556
20200524,1578,963,615
20200525,1305,439,866
20200526,1090,310,780
20200527,1694,777,917
20200528,1306,727,579
20200529,2641,914,1727
20200530,1372,557,815
20200531,2136,1099,1037
20200601,2474,959,1515
20200602,2070,708,1362
20200603,2159,1370,789
20200604,1685,1157,528
20200605,2599,1018,1581
20200606,1526,691,835
20200607,2571,1538,1033
20200608,3071,1316,1755
20200609,1480,552,928
20200610,2142,1489,653
20200611,1945,884,1061
20200612,1734,780,954
20200613,1719,912,807
20200614,2198,1425,773
20200615,2065,866,1199
20200616,1788,668,1120
20200617,2622,1653,969
20200618,1059,532,527
20200619,2326,1007,1319
20200620,1845,892,953
20200621,1800,1054,746
20200622,2280,1524,756
20200623,1371,565,806
20200624,2484,1440,1044
20200625,1472,565,907
20200626,1952,852,1100
20200627,1758,1024,734
20200628,2112,1325,787
20200629,1679,737,942
20200630,2186,744,1442
20200701,3942,1599,2343
20200702,3208,1357,1851
20200703,3910,1903,2007
20200704,2149,1140,1009
20200705,3868,2371,1497
20200706,2471,1000,1471
20200707,2470,880,1590
20200708,3216,1505,1711
20200709,2804,1180,1624
20200710,3514,1437,2077
20200711,1992,1096,896
20200712,3762,2052,1710
20200713,2259,914,1345
20200714,2076,719,1357
20200715,3329,1429,1900
20200716,2867,1176,1691
20200717,3404,1651,1753
20200718,1583,986,597
20200719,3337,2093,1244
20200720,3079,1144,1935
20200721,2596,703,1893
20200722,2839,1256,1583
20200723,3019,1189,1830
20200724,2551,1176,1375
20200725,1194,579,615
20200726,3566,2179,1387
20200727,2319,863,1456
20200728,2493,697,1796
20200729,2699,1455,1244
20200730,2686,1249,1437
20200731,3572,1673,1899
20200801,1461,814,647
20200802,4230,2597,1633
20200803,2762,959,1803
20200804,2613,991,1622
20200805,4351,2010,2341
20200806,3693,1390,2303
20200807,4348,2366,1982
20200808,1081,546,535
20200809,4447,2620,1827
20200810,2777,757,2020
20200811,2076,797,1279
20200812,3853,1616,2237
20200813,3810,1374,2436
20200814,4682,2111,2571
20200815,1056,573,483
20200816,4891,2983,1908
20200817,3085,940,2145
20200818,1942,775,1167
20200819,4276,1742,2534
20200820,3992,1742,2250
20200821,3893,1979,1914
20200822,1194,555,639
20200823,4421,2751,1670
20200824,2502,853,1649
20200825,1895,819,1076
20200826,4402,2189,2213
20200827,3597,1376,2221
20200828,4336,2219,2117
20200829,1533,678,855
20200830,4666,2984,1682
20200831,2873,1223,1650
20200901,2876,1314,1562
20200902,3832,1739,2093
20200903,3228,1314,1914
20200904,4710,2298,2412
20200905,1200,533,667
20200906,4327,2597,1730
20200907,2788,1158,1630
20200908,2533,1357,1176
20200909,4619,2010,2609
20200910,4004,1946,2058
20200911,4360,2584,1776
20200912,1290,809,481
20200913,4251,2599,1652
20200914,3165,1693,1472
20200915,3015,1850,1165
20200916,3906,2264,1642
20200917,3434,1527,1907
20200918,4478,2407,2071
20200919,1428,780,648
20200920,3853,2506,1347
20200921,2786,1241,1545
20200922,2218,1398,820
20200923,3575,2068,1507
20200924,3222,1691,1531
20200925,4406,2281,2125
20200926,1614,989,625
20200927,3728,2396,1332
20200928,2532,1347,1185
20200929,2161,1362,799
20200930,4612,2858,1754
20201001,2379,1165,1214
20201002,3295,1735,1560
20201003,1169,726,443
20201004,3620,2167,1453
20201005,2683,1007,1676
20201006,2132,1165,967
20201007,3983,1955,2028
20201008,4128,1217,2911
20201009,3418,1771,1647
20201010,1791,585,1206
20201011,4918,2517,2401
20201012,1695,832,863
20201013,1556,874,682
20201014,3309,1567,1742
20201015,3049,1262,1787
20201016,3925,2074,1851
20201017,1844,783,1061
20201018,3538,2055,1483
20201019,2336,916,1420
20201020,1879,1112,767
20201021,3158,1589,1569
20201022,2863,1352,1511
20201023,3786,1940,1846
20201024,1293,586,707
20201025,3443,2033,1410
20201026,1854,841,1013
20201027,1915,921,994
20201028,3373,1751,1622
20201029,2500,1153,1347
20201030,4004,2274,1730
20201031,1443,731,712
20201101,3902,2455,1447
20201102,2398,1165,1233
20201103,1773,1032,741
20201104,3783,1901,1882
20201105,2735,1429,1306
20201106,3502,1981,1521
20201107,1536,884,652
20201108,3926,2494,1432
20201109,1827,980,847
20201110,2082,1318,764
20201111,3317,1671,1646
20201112,2360,1175,1185
20201113,3922,2414,1508
20201114,1799,964,835
20201115,4381,2615,1766
20201116,2435,1163,1272
20201117,1733,1049,684
20201118,3805,1787,2018
20201119,2624,1332,1292
20201120,3699,2179,1520
20201121,1662,914,748
20201122,3630,2432,1198
20201123,2119,1274,845
20201124,2046,1145,901
20201125,4105,2074,2031
20201126,3050,1773,1277
20201127,4855,3335,1520
20201128,2706,1464,1242
20201129,5746,4514,1232
20201130,2900,2011,889
20201201,1978,1162,816
20201202,3214,1545,1669
20201203,2315,1197,1118
20201204,4150,2361,1789
20201205,1751,909,842
20201206,3903,2620,1283
20201207,1966,1119,847
20201208,2125,1351,774
20201209,3215,1712,1503
20201210,2952,1604,1348
20201211,4065,2506,1559
20201212,2302,1163,1139
20201213,3792,2533,1259
20201214,2399,1208,1191
20201215,2181,1285,896
20201216,3366,1791,1575
20201217,2697,1239,1458
20201218,3441,1681,1760
20201219,1680,760,920
20201220,4092,2484,1608
20201221,1737,920,817
20201222,1733,1045,688
20201223,3372,1528,1844
20201224,2191,1278,913
20201225,2882,1666,1216
20201226,1386,750,636
20201227,3116,2023,1093
20201228,1844,829,1015
20201229,1938,1306,632
20201230,3839,1904,1935
20201231,2487,1461,1026